timestamp,device,estimated_area,distance_to_master_bedroom,distance_to_master_bathroom,distance_to_lounge,distance_to_kitchen,distance_to_office,distance_to_sky_floor,distance_to_balcony
2023-10-10T12:00:00Z,o3-mini,office,15,25,35,45,55,65,75
2023-10-10T12:05:00Z,o1-mini,master_bedroom,10,20,30,40,50,60,70
2023-10-10T12:10:00Z,madisons_iphone,master_bathroom,12,22,32,42,52,62,72
2023-10-10T12:15:00Z,bkam_iphone,lounge,14,24,34,44,54,64,74
2023-10-10T12:20:00Z,nova_iphone,kitchen,16,26,36,46,56,66,76
2023-10-10T12:25:00Z,bkam_apple_watch,sky_floor,18,28,38,48,58,68,78
2025-02-09T06:57:27.193701-08:00,o3-mini,office,15,25,35,45,55,65,75
2025-02-09T06:57:27.195117-08:00,o1-mini,master_bedroom,10,20,30,40,50,60,70
2025-02-09T06:57:27.195835-08:00,madisons_iphone,master_bathroom,12,22,32,42,52,62,72
2025-02-09T06:57:27.196597-08:00,bkam_iphone,lounge,14,24,34,44,54,64,74
2025-02-09T06:57:27.197279-08:00,nova_iphone,kitchen,16,26,36,46,56,66,76
2025-02-09T06:57:27.197889-08:00,bkam_apple_watch,sky_floor,18,28,38,48,58,68,78
2025-02-09T06:57:28.422750-08:00,o3-mini,office,15,25,35,45,55,65,75
2025-02-09T06:57:28.423832-08:00,o1-mini,master_bedroom,10,20,30,40,50,60,70
2025-02-09T06:57:28.424516-08:00,madisons_iphone,master_bathroom,12,22,32,42,52,62,72
2025-02-09T06:57:28.425151-08:00,bkam_iphone,lounge,14,24,34,44,54,64,74
2025-02-09T06:57:28.425765-08:00,nova_iphone,kitchen,16,26,36,46,56,66,76
2025-02-09T06:57:28.426344-08:00,bkam_apple_watch,sky_floor,18,28,38,48,58,68,78
2025-02-09T06:57:28.426957-08:00,o3-mini,office,15,25,35,45,55,65,75
2025-02-09T06:57:28.427530-08:00,o1-mini,master_bedroom,10,20,30,40,50,60,70
2025-02-09T06:57:28.428104-08:00,madisons_iphone,master_bathroom,12,22,32,42,52,62,72
2025-02-09T06:57:28.428670-08:00,bkam_iphone,lounge,14,24,34,44,54,64,74
2025-02-09T06:57:28.429198-08:00,nova_iphone,kitchen,16,26,36,46,56,66,76
2025-02-09T06:57:28.429762-08:00,bkam_apple_watch,sky_floor,18,28,38,48,58,68,78
2025-02-09T06:57:29.618815-08:00,o3-mini,office,15,25,35,45,55,65,75
